match_id,match_date,player_id,model_prob,pinnacle_odds,pinnacle_implied,edge,kelly_stake,bet,actual_won,pnl,surface_name,tier_name
27063,2024-10-02,499,0.1191,5.98,0.1672,-0.0481,0.0,False,0,0.0,Hard,Masters 1000
27064,2024-10-02,475,0.5711,1.61,0.6211,-0.05,0.0,False,1,0.0,Hard,Masters 1000
27064,2024-10-02,629,0.4289,2.47,0.4049,0.024,0.0,False,0,0.0,Hard,Masters 1000
27065,2024-10-02,30,0.4991,2.24,0.4464,0.0527,0.021249999999999995,True,1,0.02635,Hard,Masters 1000
27065,2024-10-02,494,0.5009,1.73,0.578,-0.0771,0.0,False,0,0.0,Hard,Masters 1000
27066,2024-10-02,195,0.7616,1.2,0.8333,-0.0717,0.0,False,1,0.0,Hard,Masters 1000
27066,2024-10-02,469,0.2384,5.18,0.1931,0.0453,0.0,False,0,0.0,Hard,Masters 1000
27067,2024-10-02,512,0.8873,1.02,0.9804,-0.0931,0.0,False,1,0.0,Hard,Masters 1000
27067,2024-10-02,276,0.1127,27.06,0.037,0.0757,0.0,False,0,0.0,Hard,Masters 1000
27069,2024-10-02,202,0.2396,3.37,0.2967,-0.0571,0.0,False,1,0.0,Hard,Masters 1000
27069,2024-10-02,684,0.7604,1.36,0.7353,0.0251,0.0,False,0,0.0,Hard,Masters 1000
27070,2024-10-02,641,0.76,1.71,0.5848,0.1752,0.0,False,1,0.0,Hard,Masters 1000
27070,2024-10-02,365,0.24,2.26,0.4425,-0.2025,0.0,False,0,0.0,Hard,Masters 1000
27071,2024-10-02,440,0.5471,1.54,0.6494,-0.1023,0.0,False,1,0.0,Hard,Masters 1000
27071,2024-10-02,16,0.4529,2.64,0.3788,0.0741,0.022591463414634146,True,0,-0.022591463414634146,Hard,Masters 1000
27073,2024-10-02,692,0.7988,1.53,0.6536,0.1452,0.0,False,1,0.0,Hard,Masters 1000
27073,2024-10-02,595,0.2012,2.65,0.3774,-0.1762,0.0,False,0,0.0,Hard,Masters 1000
27074,2024-10-02,340,0.8215,1.08,0.9259,-0.1044,0.0,False,1,0.0,Hard,Masters 1000
27074,2024-10-02,511,0.1785,9.83,0.1017,0.0768,0.0,False,0,0.0,Hard,Masters 1000
27075,2024-10-02,543,0.8234,1.1,0.9091,-0.0857,0.0,False,1,0.0,Hard,Masters 1000
27075,2024-10-02,682,0.1766,8.82,0.1134,0.0632,0.0,False,0,0.0,Hard,Masters 1000
27076,2024-10-02,412,0.2264,1.98,0.5051,-0.2787,0.0,False,1,0.0,Hard,Masters 1000
27076,2024-10-02,98,0.7736,1.91,0.5236,0.25,0.13736263736263737,True,0,-0.13736263736263737,Hard,Masters 1000
27077,2024-10-02,69,0.7146,1.4,0.7143,0.0003,0.0,False,1,0.0,Hard,Masters 1000
27077,2024-10-02,588,0.2854,3.17,0.3155,-0.0301,0.0,False,0,0.0,Hard,Masters 1000
27078,2024-10-02,497,0.7566,1.3,0.7692,-0.0126,0.0,False,1,0.0,Hard,Masters 1000
27078,2024-10-02,585,0.2434,3.81,0.2625,-0.0191,0.0,False,0,0.0,Hard,Masters 1000
27079,2024-10-02,333,0.7941,1.07,0.9346,-0.1405,0.0,False,1,0.0,Hard,Masters 1000
27079,2024-10-02,122,0.2059,10.77,0.0929,0.113,0.0,False,0,0.0,Hard,Masters 1000
27080,2024-10-02,540,0.5232,1.85,0.5405,-0.0173,0.0,False,1,0.0,Hard,Masters 1000
27080,2024-10-02,580,0.4768,2.05,0.4878,-0.011,0.0,False,0,0.0,Hard,Masters 1000
27081,2024-10-02,577,0.6971,1.64,0.6098,0.0873,0.0,False,1,0.0,Hard,Masters 1000
