match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,h2h_last5_weighted,elo_mkt_gap,d_serve_style_csi,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d,p1_surface_transition,p2_surface_transition,d_surface_transition,serve_hold_matchup,p1_form_regression,p2_form_regression,tournament_proximity,total_games,game_diff,p1_is_winner,winner_won
66,2015-01-05,43,94,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,-41.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,17,7.0,1,1
66,2015-01-05,43,94,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,41.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,17,7.0,0,0
65,2015-01-05,42,128,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,38.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,23,3.0,1,1
65,2015-01-05,42,128,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,-38.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,23,3.0,0,0
62,2015-01-05,39,80,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,34.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,30,4.0,1,1
62,2015-01-05,39,80,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,-34.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,30,4.0,0,0
63,2015-01-05,40,54,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,-15.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,-0.3065,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,21,5.0,1,1
63,2015-01-05,40,54,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,15.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,0.3065,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,21,5.0,0,0
61,2015-01-05,38,74,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,35.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,-0.13690000000000002,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,22,4.0,1,1
61,2015-01-05,38,74,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,-35.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,0.13690000000000002,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,22,4.0,0,0
